dt,main,weather,clouds,wind,visibility,pop,sys,dt_txt
1686981600,"{'temp': 292.59, 'feels_like': 291.71, 'temp_min': 292.59, 'temp_max': 292.59, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 866, 'humidity': 43, 'temp_kf': 0}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",{'all': 12},"{'speed': 2.71, 'deg': 244, 'gust': 2.68}",10000,0.0,{'pod': 'n'},2023-06-17 06:00:00
1686992400,"{'temp': 290.75, 'feels_like': 289.82, 'temp_min': 290.75, 'temp_max': 290.75, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 865, 'humidity': 48, 'temp_kf': 0}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",{'all': 2},"{'speed': 2.54, 'deg': 242, 'gust': 2.58}",10000,0.0,{'pod': 'n'},2023-06-17 09:00:00
1687003200,"{'temp': 289.26, 'feels_like': 288.21, 'temp_min': 289.26, 'temp_max': 289.26, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 865, 'humidity': 49, 'temp_kf': 0}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",{'all': 1},"{'speed': 2.57, 'deg': 248, 'gust': 2.67}",10000,0.0,{'pod': 'n'},2023-06-17 12:00:00
1687014000,"{'temp': 293.57, 'feels_like': 292.69, 'temp_min': 293.57, 'temp_max': 293.57, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 866, 'humidity': 39, 'temp_kf': 0}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",{'all': 7},"{'speed': 1.99, 'deg': 233, 'gust': 2.85}",10000,0.0,{'pod': 'd'},2023-06-17 15:00:00
1687024800,"{'temp': 298.78, 'feels_like': 298.03, 'temp_min': 298.78, 'temp_max': 298.78, 'pressure': 1010, 'sea_level': 1010, 'grnd_level': 866, 'humidity': 24, 'temp_kf': 0}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",{'all': 11},"{'speed': 5.37, 'deg': 230, 'gust': 6.95}",10000,0.0,{'pod': 'd'},2023-06-17 18:00:00
1687035600,"{'temp': 300.56, 'feels_like': 299.55, 'temp_min': 300.56, 'temp_max': 300.56, 'pressure': 1008, 'sea_level': 1008, 'grnd_level': 865, 'humidity': 22, 'temp_kf': 0}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",{'all': 19},"{'speed': 8.87, 'deg': 231, 'gust': 9.6}",10000,0.0,{'pod': 'd'},2023-06-17 21:00:00
1687046400,"{'temp': 298.83, 'feels_like': 298.08, 'temp_min': 298.83, 'temp_max': 298.83, 'pressure': 1008, 'sea_level': 1008, 'grnd_level': 864, 'humidity': 24, 'temp_kf': 0}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",{'all': 18},"{'speed': 9.67, 'deg': 232, 'gust': 11.79}",10000,0.0,{'pod': 'd'},2023-06-18 00:00:00
1687057200,"{'temp': 294.55, 'feels_like': 293.58, 'temp_min': 294.55, 'temp_max': 294.55, 'pressure': 1008, 'sea_level': 1008, 'grnd_level': 862, 'humidity': 32, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 83},"{'speed': 4.45, 'deg': 228, 'gust': 9.34}",10000,0.0,{'pod': 'd'},2023-06-18 03:00:00
1687068000,"{'temp': 292.5, 'feels_like': 291.51, 'temp_min': 292.5, 'temp_max': 292.5, 'pressure': 1008, 'sea_level': 1008, 'grnd_level': 861, 'humidity': 39, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 92},"{'speed': 3.7, 'deg': 211, 'gust': 8.39}",10000,0.0,{'pod': 'n'},2023-06-18 06:00:00
1687078800,"{'temp': 291.25, 'feels_like': 290.11, 'temp_min': 291.25, 'temp_max': 291.25, 'pressure': 1006, 'sea_level': 1006, 'grnd_level': 859, 'humidity': 38, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 100},"{'speed': 4.23, 'deg': 204, 'gust': 12.06}",10000,0.0,{'pod': 'n'},2023-06-18 09:00:00
1687089600,"{'temp': 289.82, 'feels_like': 288.64, 'temp_min': 289.82, 'temp_max': 289.82, 'pressure': 1006, 'sea_level': 1006, 'grnd_level': 858, 'humidity': 42, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 100},"{'speed': 3.96, 'deg': 221, 'gust': 10.26}",10000,0.0,{'pod': 'n'},2023-06-18 12:00:00
1687100400,"{'temp': 290.41, 'feels_like': 289.16, 'temp_min': 290.41, 'temp_max': 290.41, 'pressure': 1006, 'sea_level': 1006, 'grnd_level': 859, 'humidity': 37, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 99},"{'speed': 6.55, 'deg': 221, 'gust': 15.04}",10000,0.0,{'pod': 'd'},2023-06-18 15:00:00
1687111200,"{'temp': 293.18, 'feels_like': 291.55, 'temp_min': 293.18, 'temp_max': 293.18, 'pressure': 1006, 'sea_level': 1006, 'grnd_level': 860, 'humidity': 12, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 67},"{'speed': 8.92, 'deg': 227, 'gust': 13.63}",10000,0.0,{'pod': 'd'},2023-06-18 18:00:00
1687122000,"{'temp': 294.14, 'feels_like': 292.58, 'temp_min': 294.14, 'temp_max': 294.14, 'pressure': 1005, 'sea_level': 1005, 'grnd_level': 859, 'humidity': 11, 'temp_kf': 0}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",{'all': 6},"{'speed': 10.76, 'deg': 234, 'gust': 14.52}",10000,0.0,{'pod': 'd'},2023-06-18 21:00:00
1687132800,"{'temp': 291.74, 'feels_like': 290.15, 'temp_min': 291.74, 'temp_max': 291.74, 'pressure': 1005, 'sea_level': 1005, 'grnd_level': 858, 'humidity': 19, 'temp_kf': 0}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",{'all': 15},"{'speed': 11.73, 'deg': 237, 'gust': 15.41}",10000,0.0,{'pod': 'd'},2023-06-19 00:00:00
1687143600,"{'temp': 287.38, 'feels_like': 285.59, 'temp_min': 287.38, 'temp_max': 287.38, 'pressure': 1006, 'sea_level': 1006, 'grnd_level': 857, 'humidity': 28, 'temp_kf': 0}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",{'all': 0},"{'speed': 5.56, 'deg': 228, 'gust': 13.57}",10000,0.0,{'pod': 'd'},2023-06-19 03:00:00
