"All parcel data in this report is for use by the Washoe County Assessor for assessment purposes only. The summary data in this report may not be a complete representation of the parcel or of the improvements thereon. Building information, including unit counts and number of permitted units, should be verified with the appropriate building and planning agencies. Zoning information should be verified with the appropriate planning agency. All parcels are reappraised each year. ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
APN,Add Rec,Situs,Sales Date,Sale Price,Sale Verf,RecDoc,Subdivision,Year Blt,Avg Yr Blt,BldgType,Stories,Bldg SF,Grade,Beds,Full Baths,Half Baths,Heat Type,Exterior Walls,Roof Type,Gar Type,Gar Area,Bsmt Type,Bsmt Area,LUC at Sale,Zoning (codes should be verified with the zoning authority) ,Acres,Owner1,Addl Owner,Mailing1,Mailing2,City,State,Zip,PriorOwner,PriorPID,LegalDesc,TaxDist,Total Units
161-282-13,,1640 ARBOLEDA DR,2005-06-24 00:00:00,381232,2D,03235693,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,2234,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,592,,0,20,PUD ,0.1666666716337204,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 39,1015,1
161-282-14,,1650 ARBOLEDA DR,2005-06-29 00:00:00,309891,2D,03238521,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,1777,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,625,,0,20,PUD ,0.1666666716337204,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 40,1015,1
161-282-15,,1660 ARBOLEDA DR,2005-07-05 00:00:00,326172,2D,03240982,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,2068,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,615,,0,20,PUD ,0.16485308110714,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 41,1015,1
161-282-16,,1670 ARBOLEDA DR,2005-07-11 00:00:00,308150,2D,03243337,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,1777,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,625,,0,20,PUD ,0.180073454976082,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 42,1015,1
161-282-16,,1670 ARBOLEDA DR,2005-10-14 00:00:00,443000,2D,03292134,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,1777,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,625,,0,20,PUD ,0.180073454976082,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 42,1015,1
161-283-01,,1680 ARBOLEDA DR,2005-08-10 00:00:00,406901,2D,03258687,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,2234,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,592,,0,20,PUD ,0.19086317718029,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 43,1015,1
161-283-02,,1690 ARBOLEDA DR,2005-08-11 00:00:00,343610,2D,03260101,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,2068,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,615,,0,20,PUD ,0.162121206521988,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 44,1015,1
161-283-03,,1698 ARBOLEDA DR,2005-08-04 00:00:00,359173,2D,03256341,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,2234,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,592,,0,20,PUD ,0.19086317718029,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 45,1015,1
161-285-01,,1695 ARBOLEDA DR,2005-08-02 00:00:00,353631,2D,03255049,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,2234,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,592,,0,20,PUD ,0.18842975795269012,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 26,1015,1
161-285-02,,1685 ARBOLEDA DR,2005-07-28 00:00:00,347893,2D,03252552,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,1777,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,625,,0,20,PUD ,0.160101011395454,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 27,1015,1
161-285-03,,1675 ARBOLEDA DR,2005-07-27 00:00:00,328907,2D,03251705,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,2068,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,615,,0,20,PUD ,0.18842975795269012,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 28,1015,1
161-285-04,,1670 CALITERRA WAY,2005-04-12 00:00:00,323615,2D,03196779,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,2234,AVERAGE,4,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,592,,0,20,PUD ,0.18842975795269012,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 23,1015,1
161-285-05,,1680 CALITERRA WAY,2005-05-24 00:00:00,297778,2D,03219073,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,1777,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,625,,0,20,PUD ,0.160078048706055,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 24,1015,1
161-285-06,,1690 CALITERRA WAY,2005-05-10 00:00:00,330991,2D,03211566,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,2068,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,615,,0,20,PUD ,0.183103770017624,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 25,1015,1
161-286-01,,1655 ARBOLEDA DR,2005-07-25 00:00:00,361250,2D,03250227,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,2234,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,592,,0,20,PUD ,0.208103761076927,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 29,1015,1
161-286-02,,1645 ARBOLEDA DR,2005-07-21 00:00:00,335011,2D,03248927,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,2068,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,615,,0,20,PUD ,0.171005502343178,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 30,1015,1
161-286-03,,1635 ARBOLEDA DR,2005-07-15 00:00:00,345465,2D,03245800,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,1777,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,625,,0,20,PUD ,0.171005502343178,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 31,1015,1
161-286-04,,1625 ARBOLEDA DR,2005-06-24 00:00:00,400814,2D,03235688,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,2234,AVERAGE,4,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,592,,0,20,PUD ,0.171005502343178,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 32,1015,1
161-286-05,,1615 ARBOLEDA DR,2005-06-21 00:00:00,377296,2D,03233020,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,2234,AVERAGE,4,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,592,,0,20,PUD ,0.171005502343178,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 33,1015,1
161-286-06,,1605 ARBOLEDA DR,2005-06-13 00:00:00,340801,2D,03228718,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,1777,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,625,,0,20,PUD ,0.239830121397972,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 34,1015,1
161-286-07,,1600 CALITERRA WAY,2005-04-21 00:00:00,306915,2D,03201829,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,1777,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,625,,0,20,PUD ,0.217309460043907,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 17,1015,1
161-286-08,,1610 CALITERRA WAY,2005-03-21 00:00:00,299443,2D,03185436,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,2068,AVERAGE,4,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,615,,0,20,PUD ,0.170982554554939,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 18,1015,1
161-286-09,,1620 CALITERRA WAY,2005-04-01 00:00:00,328423,2D,03192757,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,2234,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,592,,0,20,PUD ,0.170982554554939,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 19,1015,1
161-286-10,,1630 CALITERRA WAY,2005-04-06 00:00:00,302454,2D,03194534,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,1777,AVERAGE,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,625,,0,20,PUD ,0.170982554554939,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 20,1015,1
161-286-11,,1640 CALITERRA WAY,2005-04-29 00:00:00,354840,2D,03206345,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,2234,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,592,,0,20,PUD ,0.170982554554939,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 21,1015,1
161-286-12,,1650 CALITERRA WAY,2005-04-01 00:00:00,309814,2D,03192617,DOUBLE DIAMOND RANCH 8A,2005,2005,Sgl Fam Res ,ONE,2068,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,615,,0,20,PUD ,0.208103761076927,,,,,,,,,161-180-12,DOUBLE DIAMOND RANCH 8A LT 22,1015,1
161-291-01,,1698 GEMTOWN DR,2005-04-14 00:00:00,436658,2D,03198505,DOUBLE DIAMOND RANCH 22A,2004,2004,Sgl Fam Res ,TWO,3240,AVG/GOOD,4,3,0,FA/AC,STUCCO,CONCRETE TIL,GARB,726,,0,20,PUD ,0.225413218140602,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 85,1015,1
161-291-02,,1710 CAMARADERIE WAY,2005-10-20 00:00:00,299544,2D,03294935,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1261,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,409,,0,20,PUD ,0.13510100543499,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 84,1015,1
161-291-03,,1720 CAMARADERIE WAY,2005-10-21 00:00:00,302231,2D,03295733,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1443,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,484,,0,20,PUD ,0.13755738735198975,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 83,1015,1
161-291-04,,1730 CAMARADERIE WAY,2005-10-26 00:00:00,298075,2D,03298176,DOUBLE DIAMOND RANCH VLG 22A,2005,2005,Sgl Fam Res ,ONE,1261,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,409,,0,12,PUD ,0.13755738735198975,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH VLG 22A LT 82,1015,1
161-291-05,,1740 CAMARADERIE WAY,2005-11-03 00:00:00,308994,2D,03302386,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1443,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,484,,0,20,PUD ,0.161937564611435,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 81,1015,1
161-292-01,,1750 CAMARADERIE WAY,2005-07-29 00:00:00,272576,2D,03253063,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1261,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,409,,0,20,PUD ,0.160009175539017,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 80,1015,1
161-292-02,,1760 CAMARADERIE WAY,2005-07-19 00:00:00,271586,2D,03247019,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1443,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,484,,0,20,PUD ,0.13755738735198975,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 79,1015,1
161-292-03,,1770 CAMARADERIE WAY,2005-07-18 00:00:00,281097,2D,03246741,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1261,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,409,,0,20,PUD ,0.13755738735198975,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 78,1015,1
161-292-04,,1780 CAMARADERIE WAY,2005-07-13 00:00:00,263465,2D,03244550,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1261,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,409,,0,20,PUD ,0.141414135694504,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 77,1015,1
161-292-05,,1790 CAMARADERIE WAY,2005-06-29 00:00:00,303399,2D,03238709,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1593,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,540,,0,20,PUD ,0.226515144109726,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 76,1015,1
161-292-06,,10380 ROSEMOUNT DR,2005-06-29 00:00:00,289785,2D,03238524,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1443,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,484,,0,20,PUD ,0.16184572875499725,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 75,1015,1
161-292-07,,10370 ROSEMOUNT DR,2005-06-29 00:00:00,296001,2D,03238486,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1593,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,540,,0,20,PUD ,0.13583563268184662,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 74,1015,1
161-292-08,,10360 ROSEMOUNT DR,2005-06-27 00:00:00,274868,2D,03236363,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1261,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,409,,0,20,PUD ,0.13755738735198975,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 73,1015,1
161-292-09,,10350 ROSEMOUNT DR,2005-06-22 00:00:00,292279,2D,03233766,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1443,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,484,,0,20,PUD ,0.13755738735198975,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 72,1015,1
161-292-09,,10350 ROSEMOUNT DR,2005-07-29 00:00:00,405000,2D,03252849,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1443,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,484,,0,20,PUD ,0.13755738735198975,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 72,1015,1
161-292-10,,10340 ROSEMOUNT DR,2005-06-22 00:00:00,271217,2D,03234209,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1261,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,409,,0,20,PUD ,0.13755738735198975,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 71,1015,1
161-292-11,,10330 ROSEMOUNT DR,2005-06-15 00:00:00,287182,2D,03230291,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1593,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,540,,0,20,PUD ,0.13755738735198975,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 70,1015,1
161-292-12,,10320 ROSEMOUNT DR,2005-06-15 00:00:00,271227,2D,03229980,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1261,AVERAGE,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,409,,0,20,PUD ,0.13755738735198975,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 69,1015,1
161-292-13,,10310 ROSEMOUNT DR,2005-06-13 00:00:00,280186,2D,03228528,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1443,AVERAGE,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,484,,0,20,PUD ,0.13353994488716125,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 68,1015,1
161-292-14,,1795 ORNELLAIA WAY,2005-05-06 00:00:00,302651,2D,03210646,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1593,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,540,,0,20,PUD ,0.192699730396271,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 67,1015,1
161-292-15,,1785 ORNELLAIA WAY,2005-04-29 00:00:00,254323,2D,03206831,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1261,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,409,,0,20,PUD ,0.129866853356361,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 66,1015,1
161-292-16,,1775 ORNELLAIA WAY,2005-04-28 00:00:00,266733,2D,03205668,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1443,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,484,,0,20,PUD ,0.138705238699913,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 65,1015,1
161-292-17,,1765 ORNELLAIA WAY,2005-04-22 00:00:00,246204,2D,03202599,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1261,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,409,,0,20,PUD ,0.138705238699913,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 64,1015,1
161-292-18,,1755 ORNELLAIA WAY,2005-04-13 00:00:00,265235,2D,03197551,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1593,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,540,,0,20,PUD ,0.1426997184753418,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 63,1015,1
161-292-19,,1745 ORNELLAIA WAY,2005-07-21 00:00:00,392500,2D,03248878,DOUBLE DIAMOND RANCH 22A,2004,2004,Sgl Fam Res ,ONE,1443,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,484,,0,20,PUD ,0.161570250988007,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 62,1015,1
161-292-19,,1745 ORNELLAIA WAY,2005-04-15 00:00:00,273186,2D,03199197,DOUBLE DIAMOND RANCH 22A,2004,2004,Sgl Fam Res ,ONE,1443,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,484,,0,20,PUD ,0.161570250988007,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 62,1015,1
161-292-20,,1735 ORNELLAIA WAY,2005-04-06 00:00:00,272281,2D,03194514,DOUBLE DIAMOND RANCH 22A,2004,2004,Sgl Fam Res ,ONE,1593,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,540,,0,20,PUD ,0.204752072691917,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 61,1015,1
161-292-21,,1810 D`ARQUES CT,2005-03-24 00:00:00,274393,2D,03187608,DOUBLE DIAMOND RANCH 22A,2004,2004,Sgl Fam Res ,ONE,1593,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,540,,0,20,PUD ,0.193181812763214,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 60,1015,1
161-292-22,,1820 D`ARQUES CT,2005-04-01 00:00:00,247221,2D,03192575,DOUBLE DIAMOND RANCH 22A,2004,2004,Sgl Fam Res ,ONE,1261,AVERAGE,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,409,,0,20,PUD ,0.166161611676216,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 59,1015,1
161-292-23,,1830 D`ARQUES CT,2005-03-11 00:00:00,259688,2D,03181602,DOUBLE DIAMOND RANCH 22A,2004,2004,Sgl Fam Res ,ONE,1443,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,484,,0,20,PUD ,0.152479335665703,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 58,1015,1
161-292-24,,1840 D`ARQUES CT,2005-03-17 00:00:00,266062,2D,03184183,DOUBLE DIAMOND RANCH 22A,2004,2004,Sgl Fam Res ,ONE,1593,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,540,,0,20,PUD ,0.152479335665703,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 57,1015,1
161-292-25,,1850 D`ARQUES CT,2005-03-14 00:00:00,245078,2D,03182322,DOUBLE DIAMOND RANCH 22A,2004,2004,Sgl Fam Res ,ONE,1261,AVERAGE,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,409,,0,20,PUD ,0.152479335665703,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 56,1015,1
161-292-26,,1860 D`ARQUES CT,2005-02-25 00:00:00,251885,2D,03174426,DOUBLE DIAMOND RANCH 22A,2004,2004,Sgl Fam Res ,ONE,1443,AVERAGE,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,484,,0,20,PUD ,0.135055094957352,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 55,1015,1
161-292-27,,1870 D`ARQUES CT,2005-03-08 00:00:00,249312,2D,03179537,DOUBLE DIAMOND RANCH 22A,2004,2004,Sgl Fam Res ,ONE,1261,AVERAGE,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,409,,0,20,PUD ,0.123898074030876,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 54,1015,1
161-292-28,,1880 D`ARQUES CT,2005-02-11 00:00:00,267032,2D,03169016,DOUBLE DIAMOND RANCH 22A,2004,2004,Sgl Fam Res ,ONE,1593,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,540,,0,20,PUD ,0.171854913234711,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 53,1015,1
161-293-01,,1797 CAMARADERIE CIR,2005-07-28 00:00:00,292202,2D,03252557,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1443,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,484,,0,20,PUD ,0.170569330453873,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 110,1015,1
161-293-02,,1791 CAMARADERIE CIR,2005-08-05 00:00:00,297746,2D,03256944,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1593,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,540,,0,20,PUD ,0.142493113875389,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 109,1015,1
161-293-03,,1783 CAMARADERIE CIR,2005-08-15 00:00:00,287614,2D,03261535,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1443,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,484,,0,20,PUD ,0.144100084900856,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 108,1015,1
161-293-04,,1777 CAMARADERIE CIR,2005-08-10 00:00:00,280203,2D,03259310,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1261,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,409,,0,20,PUD ,0.153053253889084,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 107,1015,1
161-293-05,,1771 CAMARADERIE CIR,2005-09-26 00:00:00,417000,2D,03282880,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1593,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,540,,0,20,PUD ,0.203696057200432,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 106,1015,1
161-293-05,,1771 CAMARADERIE CIR,2005-08-12 00:00:00,319556,2D,03260795,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1593,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,540,,0,20,PUD ,0.203696057200432,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 106,1015,1
161-293-06,,1765 CAMARADERIE CIR,2005-08-18 00:00:00,302723,2D,03263285,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1593,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,540,,0,20,PUD ,0.19768135249614716,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 105,1015,1
161-293-07,,1759 CAMARADERIE CIR,2005-08-22 00:00:00,284168,2D,03265286,DOUBLE DIAMOND RANCH 22A,2005,2005,Sgl Fam Res ,ONE,1443,AVERAGE,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,484,,0,20,PUD ,0.15452249348163605,,,,,,,,,161-180-13,DOUBLE DIAMOND RANCH 22A LT 104,1015,1
