"All parcel data in this report is for use by the Washoe County Assessor for assessment purposes only. The summary data in this report may not be a complete representation of the parcel or of the improvements thereon. Building information, including unit counts and number of permitted units, should be verified with the appropriate building and planning agencies. Zoning information should be verified with the appropriate planning agency. All parcels are reappraised each year. ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
APN,Add Rec,Situs,Sales Date,Sale Price,Sale Verf,RecDoc,Subdivision,Year Blt,Avg Yr Blt,BldgType,Stories,Bldg SF,Grade,Beds,Full Baths,Half Baths,Heat Type,Exterior Walls,Roof Type,Gar Type,Gar Area,Bsmt Type,Bsmt Area,LUC at Sale,Zoning (codes should be verified with the zoning authority) ,Acres,Owner1,Addl Owner,Mailing1,Mailing2,City,State,Zip,PriorOwner,PriorPID,LegalDesc,TaxDist,Total Units
001-071-11,,3465 BALBOA DR,2005-03-11 00:00:00,234000,2D,03181856,SIERRA VISTA VILLAS 2,1978,1978,Townhse Ins,TWO,1272,FAIR/AVG,3,2,1,FA/AC,HARDBOARD,COMP SHINGLE,GARA,440,,0,21,MF14,0.00100000004749745,,,,,,,,,,SIERRA VISTA VILLAS OF RENO 2 LT 11 BLK 1,1005,1
001-071-12,,3455 BALBOA DR,2005-11-10 00:00:00,260000,2D,03305804,SIERRA VISTA VILLAS 2,1978,1978,Townhse Ins,TWO,1272,FAIR/AVG,3,2,1,FA/AC,HARDBOARD,COMP SHINGLE,GARA,440,,0,21,MF14,0.00100000004749745,,,,,,,,,,SIERRA VISTA VILLAS OF RENO 2 LT 12 BLK 1,1005,1
001-071-13,,3445 BALBOA DR,2005-11-14 00:00:00,310000,2D,03307390,SIERRA VISTA VILLAS RENO 2,1978,1978,Townhse End,TWO,1432,FAIR/AVG,3,2,1,FA,HARDBOARD,COMP SHINGLE,GARA,440,,0,21,MF14,0.00100000004749745,,,,,,,,,,SIERRA VISTA VILLAS OF RENO 2 LT 13 BLK 1,1005,1
001-072-09,,3505 ROSALINDA DR,2005-08-18 00:00:00,229500,2D,03263208,SIERRA VISTA VILLAS 2,1978,1978,Townhse Ins,TWO,1050,FAIR/AVG,2,1,1,FA,HARDBOARD,COMP SHINGLE,GARA,480,,0,21,MF14,0.00100000004749745,,,,,,,,,,SIERRA VISTA VILLAS OF RENO 2 LT 9 BLK 2,1005,1
001-072-12,,3475 ROSALINDA DR,2005-11-28 00:00:00,268000,2D,03313599,SIERRA VISTA VILLAS 2,1978,1978,Townhse Ins,TWO,1272,FAIR/AVG,3,2,1,FA,HARDBOARD,COMP SHINGLE,GARA,440,,0,21,MF14,0.00100000004749745,,,,,,,,,,SIERRA VISTA VILLAS OF RENO 2 LT 12 BLK 2,1005,1
001-073-01,,3490 ROSALINDA DR,2005-07-26 00:00:00,237000,2D,03251149,SIERRA VISTA VILLAS 2,1978,1978,Townhse End,TWO,1236,FAIR/AVG,3,2,1,FA/AC,HARDBOARD,COMP SHINGLE,GARA,440,,0,21,MF14,0.00100000004749745,,,,,,,,,,SIERRA VISTA VILLAS OF RENO 2 LT 1 BLK 3,1005,1
001-081-02,,3760 CHRISTOPHER CIR,2005-06-20 00:00:00,275000,2D,03232784,SIERRA VISTA VILLAS 1,1972,1972,Townhse Ins,TWO,1120,FAIR/AVG,2,1,1,FA/AC,HARDBOARD,COMP SHINGLE,GARA,483,Daylight,560,21,MF14,0.00100000004749745,,,,,,,,,,SIERRA VISTA VILLAS OF RENO 1 LT 2 BLK 1,1005,1
001-081-09,,3755 CHRISTOPHER CIR,2005-10-25 00:00:00,240000,2D,03297453,SIERRA VISTA VILLAS 1,1972,1972,Townhse Ins,TWO,960,FAIR/AVG,2,1,0,FA/AC,HARDBOARD,COMP SHINGLE,GARB,504,,0,21,MF14,0.00100000004749745,,,,,,,,,,SIERRA VISTA VILLAS OF RENO 1 LT 9 BLK 1,1005,1
001-081-20,,1865 BALBOA DR,2005-03-30 00:00:00,260000,2D,03190706,SIERRA VISTA VILLAS 1,1972,1972,Townhse End,TWO,1452,FAIR/AVG,2,1,1,FA,HARDBOARD,COMP SHINGLE,GARA,480,,0,21,MF14,0.00100000004749745,,,,,,,,,,SIERRA VISTA VILLAS OF RENO 1 LT 20 BLK 1,1005,1
001-081-29,,3655 SEBASTIAN CIR,2005-11-02 00:00:00,285000,2D,03301809,SIERRA VISTA VILLAS 1,1972,1972,Townhse End,TWO,1452,FAIR/AVG,2,1,1,FA,HARDBOARD,COMP SHINGLE,GARA,480,,0,21,MF14,0.00100000004749745,,,,,,,,,,SIERRA VISTA VILLAS OF RENO 1 LT 29 BLK 1,1005,1
